Title,Views,Views_Count,Published,URL,Duration_Text,Duration_Seconds,Category
"""พัสดุสยองขวัญ"" อาจจะเป็นของที่แปลกที่สุดตั้งแต่ทำงานเป็นไรเดอร์มา | หลอนตามสั่ง EP.461 | nuenglc",การดู 9.5 หมื่น ครั้ง,95000,2025-09-19 22:44:00.079885,https://www.youtube.com/watch?v=yDo2TgmTU2U,23:34,1414,เรื่องเล่า
"""บ้านใกล้วิทยาลัย"" ทนอยู่จนครบสัญญาได้ก็เก่งแล้ว จ.ระยอง | หลอนตามสั่ง EP.460 | nuenglc",การดู 1.5 แสน ครั้ง,150000,2025-09-16 22:44:00.079905,https://www.youtube.com/watch?v=sf3CewMrkWM,37:04,2224,เรื่องเล่า
"""ยืมของผี"" เอาของเขามาเจ้าของมาทวงถึงกับหลอน | หลอนตามสั่ง EP.459 | nuenglc",การดู 1.6 แสน ครั้ง,160000,2025-09-12 22:44:00.079914,https://www.youtube.com/watch?v=vERl-XGVQeE,31:08,1868,เรื่องเล่า
"""ไม้ผีในบ้านคน"" ชั้นล่างเป็นของคนชั้นบนเป็นของผี จ.หนองคาย | หลอนตามสั่ง EP.พิเศษ 458 | nuenglc",การดู 2.9 แสน ครั้ง,290000,2025-09-09 22:44:00.079921,https://www.youtube.com/watch?v=vZ5B3yYI4-0,1:04:49,3889,เรื่องผี
"""ครั้งสุดท้ายในชีวิต"" ก่อนเข้าไปมีคนเตือนแล้วว่าที่นี้ผีดุนะ | หลอนตามสั่ง EP.457 | nuenglc",การดู 1.9 แสน ครั้ง,190000,2025-09-08 22:44:00.079926,https://www.youtube.com/watch?v=rox2iq4C6mA,33:38,2018,เรื่องผี
"""ศพยายสา"" แกจะออกตามหาร่างทุกคืนที่ จ.ลำพูน | หลอนตามสั่ง EP.456 | nuenglc",การดู 3.5 แสน ครั้ง,350000,2025-09-08 22:44:00.079933,https://www.youtube.com/watch?v=xWW9SW0mPp0,33:43,2023,เรื่องเล่า
"""ขอแค่ส่วนบุญ"" เจอผีหัวขาดในโรงแรมดังทางภาคเหนืออักษรย่อ ช. | หลอนตามสั่ง EP.455 | nuenglc",การดู 1.3 แสน ครั้ง,130000,2025-09-01 22:44:00.079938,https://www.youtube.com/watch?v=XuiANrJa4WM,31:05,1865,ตำนาน / ประวัติศาสตร์
"""ห้องน้ำโรงงาน"" เข้าทำงานกะกลางคืนครั้งแรกก็เจอดีเลย | หลอนตามสั่ง EP.454 | nuenglc",การดู 1.9 แสน ครั้ง,190000,2025-09-01 22:44:00.079943,https://www.youtube.com/watch?v=QWHID3eM5EA,26:05,1565,เรื่องเล่า
"""อุทยานป่าหลอน"" สยองจนครูต้องกลับไปขอขมาให้แทน | หลอนตามสั่ง EP.453 | nuenglc",การดู 2.7 แสน ครั้ง,270000,2025-08-23 22:44:00.079948,https://www.youtube.com/watch?v=qOrUn7jMpdQ,30:54,1854,เรื่องเล่า
"""บ้านติดถนน"" เห็นศพกระเด็นติดต้นไม้หน้าบ้านเป็นประจำที่เชียงใหม่ | หลอนตามสั่ง EP.452 | nuenglc",การดู 2.2 แสน ครั้ง,220000,2025-08-23 22:44:00.079953,https://www.youtube.com/watch?v=VFXfw0XNW_o,25:12,1512,เรื่องเล่า
"""ปอบผีป่า"" ห้าเรื่องสยองขวัญที่เกิดขึ้นจริง | หลอนตามสั่ง EP.451 | nuenglc",การดู 3.9 แสน ครั้ง,390000,2025-08-23 22:44:00.079957,https://www.youtube.com/watch?v=soh4TPYRBM4,47:06,2826,เรื่องจริง
"""ทางกลับบ้านชัยภูมิ"" มากันสามคนยังไม่รอดถนนนี้ผีดุจริง | หลอนตามสั่ง EP.450 | nuenglc",การดู 5 แสน ครั้ง,500000,2025-08-23 22:44:00.079962,https://www.youtube.com/watch?v=ndpdTdyuMRI,27:28,1648,เรื่องผี
"""ห้องสีฟ้า"" ประสบการณ์สยองของนักเรียนแลกเปลี่ยนที่อเมริกา | หลอนต่างแดน EP.18 | nuenglc",การดู 1.6 แสน ครั้ง,160000,2025-08-23 22:44:00.079966,https://www.youtube.com/watch?v=BVVETcDQ-EA,40:04,2404,เรื่องจริง
"""ปีนี้หนูอาจไม่รอด"" สามปีที่ผ่านมาหนูเกือบตายทุกครั้งในเดือนเจ็ด | หลอนตามสั่ง EP.449 | nuenglc",การดู 2 แสน ครั้ง,200000,2025-08-23 22:44:00.079970,https://www.youtube.com/watch?v=aJ3dcARgUSA,33:45,2025,เรื่องเล่า
"""พิธีกรรมเหยา"" หนูโดนผีปอบตามตั้งแต่ยังเด็กที่ จ.สกลนคร | หลอนตามสั่ง EP.448 | nuenglc",การดู 3 แสน ครั้ง,300000,2025-08-23 22:44:00.079975,https://www.youtube.com/watch?v=zbDhYvr6ONk,35:31,2131,เรื่องเล่า
"""ของฝากจากเมียใหม่"" เกือบเสียพ่อไปให้กับคนเล่นของ  | หลอนตามสั่ง EP.447 | nuenglc",การดู 2.3 แสน ครั้ง,229999,2025-08-23 22:44:00.079979,https://www.youtube.com/watch?v=OAIaAJ8Mu7Q&pp=0gcJCesJAYcqIYzv,39:27,2367,เรื่องเล่า
"""ของมือสอง"" มันตามมาไกลมากจนทำให้ไม่กล้าซื้อของแบบนี้อีก | หลอนตามสั่ง EP.446 | nuenglc",การดู 1.7 แสน ครั้ง,170000,2025-08-23 22:44:00.079984,https://www.youtube.com/watch?v=KtN56-DEP2U,29:23,1763,เรื่องเล่า
"""โรงเรียนสยองขวัญ"" ประสบการณ์หลอนในสามโรงเรียนชื่อดัง | หลอนตามสั่ง EP.445 | nuenglc",การดู 2.5 แสน ครั้ง,250000,2025-08-23 22:44:00.079988,https://www.youtube.com/watch?v=HjM3av_RUlo,34:56,2096,เรื่องจริง
"""อาถรรพ์บ้านเช่าผี"" เจ้าของบ้านนิมนต์พระมาทำบุญให้ก่อนวันเข้าอยู่  | หลอนตามสั่ง EP.444 | nuenglc",การดู 6.6 แสน ครั้ง,660000,2025-07-24 22:44:00.079992,https://www.youtube.com/watch?v=C2t1tfhAQ3Q,1:10:31,4231,เรื่องผี
"""พิธีลงขอน"" หนูเห็นเขาเรียกผีตายโหงมาเข้าร่าง  | หลอนตามสั่ง EP.443 | nuenglc",การดู 2.1 แสน ครั้ง,210000,2025-07-24 22:44:00.079997,https://www.youtube.com/watch?v=8vsLGL66LCs,29:46,1786,เรื่องเล่า
"""มันทิ้งกูมาเกิด"" หนีกันมา15ปีสุดท้ายมาเจอกัน | หลอนตามสั่ง EP.442 | nuenglc",การดู 2 แสน ครั้ง,200000,2025-07-24 22:44:00.080001,https://www.youtube.com/watch?v=B0yRtlAgm20,26:12,1572,เรื่องเล่า
"""ลองฟังเรื่องผีก่อนนอน"" ห้าเรื่องสยองขวัญส่งคุณเข้านอน | หลอนตามสั่ง EP.441 | nuenglc",การดู 4.5 แสน ครั้ง,450000,2025-07-24 22:44:00.080005,https://www.youtube.com/watch?v=0UtZ619SdMk,51:54,3114,เรื่องเล่า
"""เปรตนางบัว"" พระในวัดเริ่มอยู่ไม่ได้จนต้องตั้งกฎพิเศษขึ้นมา | หลอนตามสั่ง EP.440 | nuenglc",การดู 3.9 แสน ครั้ง,390000,2025-07-24 22:44:00.080009,https://www.youtube.com/watch?v=W1ev-TrG6Xk,34:35,2075,เรื่องผี
"""ผีหัวขาดบึงกาฬ"" ถนนทางโค้งหน้าวัดนั้นผีดุมาก! | หลอนตามสั่ง EP.439 | nuenglc",การดู 3 แสน ครั้ง,300000,2025-07-24 22:44:00.080014,https://www.youtube.com/watch?v=rsA_-HeejCE,25:42,1542,เรื่องผี
"""บวงสรวงสยอง"" ใครมีของอย่าลองดีที่มหาลัยชื่อดัง!!! | หลอนตามสั่ง EP.438 | nuenglc",การดู 1.6 แสน ครั้ง,160000,2025-07-24 22:44:00.080018,https://www.youtube.com/watch?v=EWt_n3mcVwA,23:31,1411,เรื่องเล่า
"""ตามมาจากงานศพ"" ถ้ารู้ว่าตายโหงจะได้ไม่ไปงาน | หลอนตามสั่ง EP.437 | nuenglc",การดู 2.6 แสน ครั้ง,260000,2025-07-24 22:44:00.080022,https://www.youtube.com/watch?v=ouIQmx5hwIw,28:28,1708,เรื่องเล่า
"""ญินในป่าต้องห้าม"" เขาห้ามเด็กเข้าไปในป่านั้น (จ.พังงา) | หลอนตามสั่ง EP.436 | nuenglc",การดู 4 แสน ครั้ง,400000,2025-07-24 22:44:00.080027,https://www.youtube.com/watch?v=mLMOMPp4ItU,27:38,1658,เรื่องเล่า
"""มอญซ่อนผี"" ห้าเรื่องสยองขวัญที่ห้ามฟังคนเดียว | หลอนตามสั่ง EP.435 | nuenglc",การดู 3.6 แสน ครั้ง,360000,2025-06-24 22:44:00.080031,https://www.youtube.com/watch?v=8BYeT5LvMgo,48:01,2881,เรื่องเล่า
"""ดวงหนูครูขอนะ"" คิดว่าครูดูดวงแม่นที่ไหนได้แกเลี้ยงผีไว้คอยบอกดวง | หลอนตามสั่ง EP.434 | nuenglc",การดู 2.7 แสน ครั้ง,270000,2025-06-24 22:44:00.080035,https://www.youtube.com/watch?v=a34q2SxIC54,31:15,1875,เรื่องเล่า
